,year,team_id,team,conference,epa_rushing,epa_passing,epa_total,epa_allowed_rushing,epa_allowed_passing,epa_allowed_total,success_rate_passing_downs,success_rate_standard_downs,success_rate_total,success_rate_allowed_passing_downs,success_rate_allowed_standard_downs,success_rate_allowed_total,rushing_highlight_yards,rushing_open_field_yards,rushing_second_level_yards,rushing_line_yards,rushing_allowed_highlight_yards,rushing_allowed_open_field_yards,rushing_allowed_second_level_yards,rushing_allowed_line_yards,explosiveness,explosiveness_allowed,division,rating_srs,ranking_srs,elo,rating_sp,ranking_sp,fpi,resume_ranks,efficiencies,game_control,remaining_strength_of_schedule,strength_of_schedule,average_win_probability,fpi_resume,strength_of_record,special_teams,defense,offense,overall
Sam Houston,2025,2534,Sam Houston,CUSA,0.09299300281152209,0.1523431410995587,0.1021154604188518,0.0824859556107255,0.36887918227518085,0.22969340322490947,0.2738296418708715,0.4531575353222367,0.3636789869030987,0.3296203534325061,0.4911018940769627,0.4580387688597437,2.027400633936934,1.2990193184793868,1.0649837917509595,2.7598658582190043,1.8775809074751204,1.159614522521533,1.0675188512738973,2.9901077742541786,1.0097912904833235,0.9361600900519897,,-21.7,163,1243,-23.6,133,-17.829,game_control=133 remaining_strength_of_schedule=123 strength_of_schedule=26 average_win_probability=136 fpi=130 strength_of_record=133,special_teams=50.747 defense=26.095 offense=14.009 overall=15.217,133,123,26,136,130,133,50.747,26.095,14.009,15.217
Delaware,2025,48,Delaware,CUSA,0.1636072054449699,0.2541301332491548,0.2179712993763007,0.11876181836280697,0.28775126244529237,0.20802040531692234,0.30650450597304135,0.48357973189839126,0.41473849240976524,0.3211789869285709,0.472717698465734,0.4379489077539697,2.253019737087341,1.4976852889821306,1.0936922724796299,3.0089210052573563,2.0480338683273986,1.3310643667744537,1.0483471051934714,2.8409189639752643,1.037125311664182,1.0330535278055288,,-4.5,88,1501,-7,89,-9.497,game_control=87 remaining_strength_of_schedule=119 strength_of_schedule=114 average_win_probability=74 fpi=100 strength_of_record=59,special_teams=50.489 defense=26.634 offense=54.514 overall=37.808,87,119,114,74,100,59,50.489,26.634,54.514,37.808
Jacksonville State,2025,55,Jacksonville State,CUSA,0.16774428767348615,0.1568520907303474,0.16561894305796165,0.1317656785609073,0.34692170963564123,0.23762134487356773,0.3059937511899763,0.4660685197519416,0.4069607478416889,0.32073197752868216,0.5080713847342867,0.4676953077423866,2.1677273142811155,1.3928994382448607,1.1547779109362006,3.006248848357708,2.069883300211433,1.3188501070985454,1.0998915248008245,2.9335524816493286,1.0988018144112965,0.9948891406279065,,-11.6,115,1529,-9.8,104,-8.549,game_control=117 remaining_strength_of_schedule=130 strength_of_schedule=115 average_win_probability=96 fpi=97 strength_of_record=110,special_teams=40.07 defense=46.333 offense=39.975 overall=39.489,117,130,115,96,97,110,40.07,46.333,39.975,39.489
Missouri State,2025,2623,Missouri State,CUSA,0.06512234249630486,0.21935612084958195,0.12736990688117167,0.18256077538955073,0.29826198913301455,0.25856337684059044,0.2965333950170987,0.43846408313351604,0.3801026141898858,0.31276125040455516,0.5086033559739034,0.45855084264027474,1.9150258156296618,1.1717160923140357,1.1267984495180992,2.6529467221795353,2.2467441339432828,1.477731583703742,1.117524780151022,3.046371685435607,0.9790107338744221,1.0449710713435179,,-10.7,108,1335,-13.4,118,-13.778,game_control=100 remaining_strength_of_schedule=134 strength_of_schedule=44 average_win_probability=102 fpi=122 strength_of_record=101,special_teams=41.403 defense=38.867 offense=37.388 overall=33.827,100,134,44,102,122,101,41.403,38.867,37.388,33.827
Akron,2025,2006,Akron,MAC,0.003125158368091366,0.1588306437150025,0.032027964153534316,0.13108808035259834,0.3598321555196822,0.26058891235645565,0.24686612573008773,0.43123255981362124,0.3349957838168865,0.3278878860334053,0.5136006205546075,0.48868514112703926,1.6923157177777222,1.008542025129134,1.002262567508379,2.5692437780056703,2.0057459419595176,1.2369017199835295,1.1530843561235906,3.1617975642490173,0.8783680952357661,0.9833770456956362,,-12.7,121,995,-22.1,130,-20.696,game_control=125 remaining_strength_of_schedule=136 strength_of_schedule=72 average_win_probability=122 fpi=134 strength_of_record=130,special_teams=44.156 defense=46.844 offense=10.727 overall=20.793,125,136,72,122,134,130,44.156,46.844,10.727,20.793
Air Force,2025,2005,Air Force,MWC,0.1544497784817817,0.3652156026575169,0.2631045925897253,0.1884677989463313,0.47525866876440426,0.37119391652627254,0.34224673949237105,0.488010090562822,0.46089320870748457,0.3738231422280027,0.49789193228454015,0.4918426077361047,1.990517091100231,1.2908803483759088,1.0015570338637483,2.9304140458346972,2.241183369452771,1.4716340443547014,1.1410433714937411,2.9657903926463143,0.9920444406992004,1.1157522892563965,,-14.8,132,1351,-7,89,-11.711,game_control=126 remaining_strength_of_schedule=91 strength_of_schedule=122 average_win_probability=108 fpi=114 strength_of_record=126,special_teams=50.497 defense=6.443 offense=70.027 overall=25.723,126,91,122,108,114,126,50.497,6.443,70.027,25.723
App State,2025,2026,App State,SBC,0.1270550357454612,0.09601744685786281,0.09223850604362875,0.0635745313631309,0.33260486550423807,0.18623096584935658,0.2978241454779619,0.48472112552366947,0.4196245847696412,0.31289995533498993,0.45707934863987537,0.4181077656802917,1.9331857003231738,1.2048052365039454,1.0640921284464828,2.9978123049487793,1.7555234415640173,1.0774770221934458,0.9883373210650815,2.702430683590831,0.910899642104485,0.962080233764552,East,-20.5,160,1324,-11.7,110,-11.703,game_control=110 remaining_strength_of_schedule=99 strength_of_schedule=112 average_win_probability=99 fpi=113 strength_of_record=102,special_teams=37.192 defense=47.928 offense=21.177 overall=26.796,110,99,112,99,113,102,37.192,47.928,21.177,26.796
Arizona,2025,12,Arizona,B12,0.16303600461625628,0.14191478386094977,0.15558391979730332,0.09092660106886298,0.20282119468557247,0.13519458759813258,0.2753223105317681,0.4927668932905634,0.4222091789895621,0.31041785136030514,0.4387777224982886,0.3954601303084636,2.209554790054505,1.439424885415348,1.1382208521028871,3.052201036625192,1.832654319815136,1.155260288584542,0.9801092580599887,2.6173718663985555,1.0480153368522118,0.9948887879160163,,4.6,53,1422,7.9,49,4.592,game_control=39 remaining_strength_of_schedule=51 strength_of_schedule=78 average_win_probability=37 fpi=52 strength_of_record=42,special_teams=16.701 defense=78.871 offense=61.786 overall=68.189,39,51,78,37,52,42,16.701,78.871,61.786,68.189
Arkansas State,2025,2032,Arkansas State,SBC,0.05345034239749325,0.12434076324666893,0.06714283446286513,0.1666016859268681,0.3267810940407548,0.2502317798272854,0.27555575979068525,0.44159243846090734,0.3675291327541746,0.345418232845284,0.5320243308163237,0.49965565184280647,1.7199212578815941,1.0342893488960205,1.0015962295202017,2.829811222046458,2.312028203607312,1.5315397634142756,1.1383737156144407,2.9423616342985848,0.9298296719567577,1.0254532175070112,West,-15.3,135,1213,-15.5,125,-12.889,game_control=127 remaining_strength_of_schedule=116 strength_of_schedule=95 average_win_probability=120 fpi=119 strength_of_record=128,special_teams=71.003 defense=22.379 offense=29.756 overall=24.343,127,116,95,120,119,128,71.003,22.379,29.756,24.343
Auburn,2025,2,Auburn,SEC,0.17548786533773103,0.22146694811148016,0.20213659085258162,-0.0074238260725044275,0.26066074657938054,0.09559019359018268,0.27264810194592276,0.5271604993351948,0.47118042675998956,0.2606516993510151,0.4305227299040905,0.3460371263688449,2.0612692526046197,1.305183474205678,1.1242589654253465,3.007926471993088,1.6755466074961944,1.0504827924179745,0.8864590009298015,2.272311855142412,0.9960485381014806,0.9452516547946019,,12.1,27,1676,14.3,30,12.75,game_control=26 remaining_strength_of_schedule=17 strength_of_schedule=8 average_win_probability=65 fpi=23 strength_of_record=33,special_teams=47.545 defense=84.737 offense=65.83 overall=80.831,26,17,8,65,23,33,47.545,84.737,65.83,80.831
